NUMBER,ENGLISH_WORD,POS,NUMBER_OF_TRANSLATIONS,AMBIGUITY,AMBIGUITY_SOURCE
257,abuse,noun / verb,3,Ambiguous,Meaning
257,abuse,noun / verb,3,Ambiguous,Meaning
257,abuse,verb,3,Ambiguous,Meaning
434,action,noun,4,Ambiguous,Form and Meaning
434,action,noun,4,Ambiguous,Form and Meaning
434,action,noun,4,Ambiguous,Form and Meaning
434,action,noun,4,Ambiguous,Form and Meaning
35,advantage,noun,3,Ambiguous,Meaning
35,advantage,noun,3,Ambiguous,Meaning
35,advantage,noun,3,Ambiguous,Meaning
557,age,noun,2,Ambiguous,Form
557,age,noun,2,Ambiguous,Form
491,airplane,noun,1,Unambiguous,
263,alley,noun,4,Ambiguous,Form and Meaning
263,alley,noun,4,Ambiguous,Form and Meaning
263,alley,noun,4,Ambiguous,Form and Meaning
263,alley,noun,4,Ambiguous,Form and Meaning
224,anger,noun,5,Ambiguous,Form and Meaning
224,anger,verb,5,Ambiguous,Form and Meaning
224,anger,noun,5,Ambiguous,Form and Meaning
224,anger,noun,5,Ambiguous,Form and Meaning
224,anger,verb,5,Ambiguous,Form and Meaning
133,angle,noun,2,Ambiguous,Meaning
133,angle,noun,2,Ambiguous,Meaning
337,ant,noun,1,Unambiguous,
72,apple,noun,1,Unambiguous,
379,army,noun,2,Ambiguous,Form
379,army,noun,2,Ambiguous,Form
560,arrival,noun,2,Ambiguous,Form
560,arrival,noun,2,Ambiguous,Form
445,arrow,noun,2,Ambiguous,Meaning
445,arrow,noun,2,Ambiguous,Meaning
327,art,noun,2,Ambiguous,Meaning
327,art,noun,2,Ambiguous,Meaning
107,attempt,verb,4,Ambiguous,Form and Meaning
107,attempt,verb,4,Ambiguous,Form and Meaning
107,attempt,noun / verb,4,Ambiguous,Form and Meaning
107,attempt,verb,4,Ambiguous,Form and Meaning
530,attention,noun,2,Ambiguous,Form
530,attention,noun,2,Ambiguous,Form
248,aunt,noun,5,Ambiguous,Form and Meaning
248,aunt,noun,5,Ambiguous,Form and Meaning
248,aunt,noun,5,Ambiguous,Form and Meaning
248,aunt,noun,5,Ambiguous,Form and Meaning
248,aunt,noun,5,Ambiguous,Form and Meaning
77,author,noun,1,Unambiguous,
