ENGLISH_WORD,NUMBER_OF_TRANSLATIONS,AMBIGUITY,AMBIGUITY_SOURCE,AOA,CNC,FAM,CPOS,IMG,KFFRQ,NLET,NPHN,NSYL,LOG_KFREQ,logstl,logcheck,roundq,roundr,
ABUSE,3,Ambiguous,Meaning,,,450,NV,,18,5,5,2,1.255272505,2.72 ,2.72 ,2.72 ,2.72 ,
ACTION,4,Ambiguous,Both,,,,N,,291,6,5,2,2.463892989,3.49 ,3.49 ,3.49 ,3.49 ,
ADVANTAGE,3,Ambiguous,Meaning,,282,562,N,292,73,9,8,3,1.86332286,3.05 ,3.05 ,3.05 ,3.05 ,
AGE,2,Ambiguous,Form,258,390,582,NV,468,227,3,2,1,2.356025857,3.61 ,3.61 ,3.61 ,3.61 ,
AIRPLANE,1,Unambiguous,Unambiguous,,,,,,11,8,,2,1.041392685,2.75 ,2.75 ,2.75 ,2.75 ,
ALE,0,None,None,,578,454,N,526,1,3,2,1,0,2.31 ,2.31 ,2.31 ,2.31 ,
ALLEY,4,Ambiguous,Both,,557,526,N,572,8,5,3,2,0.903089987,2.92 ,2.92 ,2.92 ,2.92 ,
ANGER,5,Ambiguous,Both,,315,541,NV,488,48,5,4,2,1.681241237,3.00 ,3.00 ,3.00 ,3.00 ,
ANGLE,2,Ambiguous,Meaning,,467,518,NV,503,51,5,4,2,1.707570176,2.88 ,2.88 ,2.88 ,2.88 ,
ANT,1,Unambiguous,Unambiguous,,604,511,N,613,6,3,3,1,0.77815125,2.44 ,2.44 ,2.44 ,2.44 ,
APPLE,1,Unambiguous,Unambiguous,211,620,598,N,637,9,5,,1,0.954242509,3.08 ,3.08 ,3.08 ,3.08 ,
ARMY,2,Ambiguous,Form,317,543,555,N,578,132,4,3,2,2.120573931,3.64 ,3.64 ,3.64 ,3.64 ,
ARRIVAL,2,Ambiguous,Form,394,328,548,N,419,23,7,6,3,1.361727836,2.63 ,2.63 ,2.63 ,2.63 ,
ARROW,2,Ambiguous,Meaning,,595,490,N,619,14,5,3,2,1.146128036,2.60 ,2.60 ,2.60 ,2.60 ,
ART,2,Ambiguous,Meaning,,440,529,NV,493,208,3,2,1,2.318063335,3.56 ,3.56 ,3.56 ,3.56 ,
